developer,class,models,weekly_tokens,volume_share,est_weekly_spend_usd
Tencent,Open-weights,3,9819071757511,0.166495,9089.56
Xiaomi,Open-weights,2,9310423012975,0.15787,1504555.85
DeepSeek,Open-weights,11,8235648154196,0.139646,1811004.82
Anthropic,Closed,15,7168921463236,0.121558,33787566.77
Z.ai (Zhipu),Mixed,12,4125824091393,0.069959,3948293.98
MiniMax,Mixed,8,4106007101634,0.069623,1267614.57
Google,Mixed,24,4077746470838,0.069143,2682111.71
OpenAI,Mixed,65,3981675571322,0.067514,9337853.05
NVIDIA,Open-weights,7,3695231301380,0.062657,30699.48
Alibaba (Qwen),Mixed,46,988535427294,0.016762,502155.57
StepFun,Open-weights,2,894557095416,0.015168,192032.26
Poolside,Open-weights,2,677135267968,0.011482,2538.33
Moonshot AI,Open-weights,7,600879389287,0.010189,605923.24
xAI,Closed,5,470919435500,0.007985,884702.3
Mistral AI,Mixed,19,377828308798,0.006407,42183.43
Meta,Open-weights,8,142438352178,0.002415,20341.75
Cohere,Mixed,5,121678435624,0.002063,687.67
Inclusionai,Closed,3,51499494223,0.000873,1233.42
Amazon,Closed,5,27604293456,0.000468,4228.32
Ibm-Granite,Open-weights,2,15744748523,0.000267,463.49
Nex-Agi,Open-weights,2,14064751780,0.000238,1696.56
Aion-Labs,Closed,4,11913189793,0.000202,22880.89
Bytedance-Seed,Closed,4,9782811219,0.000166,2178.68
Inception,Closed,1,8120415356,0.000138,2460.84
Sao10K,Open-weights,3,6482859342,0.00011,645.71
Meta,Closed,1,6468529434,0.00011,8674.49
Perceptron,Closed,1,6179296213,0.000105,964.81
Kwaipilot,Closed,3,5067946936,8.6e-05,1983.78
Perplexity,Closed,5,4008953952,6.8e-05,14642.62
Nousresearch,Open-weights,4,3828471497,6.5e-05,1770.29
Thedrummer,Open-weights,4,2298960040,3.9e-05,805.4
Sakana,Closed,1,2027118193,3.4e-05,11621.74
Microsoft,Open-weights,2,1713378745,2.9e-05,668.46
Arcee-Ai,Open-weights,1,1042756876,1.8e-05,305.08
Gryphe,Open-weights,1,1002546312,1.7e-05,60.15
Cognitivecomputations,Open-weights,1,447107445,8e-06,94.84
Morph,Closed,2,343757625,6e-06,449.95
ByteDance,Open-weights,1,251892721,4e-06,25.71
Upstage,Closed,1,216891583,4e-06,37.21
Undi95,Open-weights,1,128773420,2e-06,59.54
Ai21,Open-weights,1,105978119,2e-06,245.35
Deepcogito,Closed,1,95266142,2e-06,119.08
Baidu,Open-weights,1,76382161,1e-06,43.96
Anthracite-Org,Open-weights,1,74519117,1e-06,234.03
Rekaai,Open-weights,2,50845067,1e-06,6.42
Relace,Closed,2,44982174,1e-06,46.29
Writer,Closed,1,32656828,1e-06,37.75
Mancer,Closed,1,7147870,0.0,5.88
