provider,category,hq,est_weekly_tokens_open,est_weekly_tokens_closed,est_weekly_tokens_total,share_of_covered,open_share,models_served
Novita,AI inference cloud,US,9724270864354,0,9724270864354,0.171749,1.0,20
Xiaomi,Model lab,CN,8870931601383,0,8870931601383,0.156677,1.0,2
Google,Hyperscaler (US),US,26447138377,3643372603549,3669819741926,0.064816,0.0072,19
Nvidia,Model lab,US,3538382602388,0,3538382602388,0.062494,1.0,2
Anthropic,Model lab,US,0,3386706900586,3386706900586,0.059815,0.0,8
Minimax,Model lab,SG,2960380002889,0,2960380002889,0.052286,1.0,2
Amazon Bedrock,Hyperscaler (US),US,66355616011,2446658017107,2513013633117,0.044384,0.0264,11
GMICloud,AI inference cloud,US,2450343782474,0,2450343782474,0.043278,1.0,11
StreamLake,Hyperscaler (China),CN,1976910329098,0,1976910329098,0.034916,1.0,8
DeepSeek,Model lab,CN,1975377551853,0,1975377551853,0.034889,1.0,2
Tencent,Hyperscaler (China),CN,1917363156022,0,1917363156022,0.033864,1.0,1
OpenAI,Model lab,US,0,1688110736888,1688110736888,0.029815,0.0,11
DeepInfra,AI inference cloud,US,1298850255656,0,1298850255656,0.02294,1.0,21
Azure,Hyperscaler (US),US,0,1193335205267,1193335205267,0.021077,0.0,17
Alibaba,Hyperscaler (China),SG,836958816490,289246594262,1126205410752,0.019891,0.7432,7
StepFun,Model lab,,891389515147,0,891389515147,0.015744,1.0,1
Google AI Studio,Hyperscaler (US),US,0,813245446601,813245446601,0.014363,0.0,8
SiliconFlow,AI inference cloud,SG,809316876664,0,809316876664,0.014294,1.0,15
Poolside,Model lab,,658559920065,0,658559920065,0.011631,1.0,2
AtlasCloud,AI inference cloud,US,532372030749,0,532372030749,0.009403,1.0,14
WandB,AI inference cloud,US,467743162009,0,467743162009,0.008261,1.0,10
xAI,Model lab,US,0,433767996525,433767996525,0.007661,0.0,2
Fireworks,AI inference cloud,US,423149760347,0,423149760347,0.007474,1.0,8
Together,AI inference cloud,US,270604056626,0,270604056626,0.004779,1.0,9
Morph,Model lab,US,257588872101,0,257588872101,0.004549,1.0,6
DigitalOcean,Hyperscaler (US),,232997280134,0,232997280134,0.004115,1.0,11
Venice,AI inference cloud,US,224771108935,0,224771108935,0.00397,1.0,12
Z.AI,Model lab,SG,195774747709,0,195774747709,0.003458,1.0,3
Groq,AI inference cloud,US,184962724590,0,184962724590,0.003267,1.0,3
DekaLLM,AI inference cloud,ID,173456758568,0,173456758568,0.003064,1.0,5
Cloudflare,Hyperscaler (US),US,167053206634,0,167053206634,0.00295,1.0,5
Baidu,Hyperscaler (China),CN,126452241351,0,126452241351,0.002233,1.0,7
Ambient,AI inference cloud,,125652864535,0,125652864535,0.002219,1.0,3
Cohere,Model lab,US,121286905421,0,121286905421,0.002142,1.0,1
Friendli,AI inference cloud,US,117947141062,0,117947141062,0.002083,1.0,4
Chutes,AI inference cloud,US,117045738418,0,117045738418,0.002067,1.0,7
Inceptron,AI inference cloud,SE,105498101440,0,105498101440,0.001863,1.0,3
NextBit,AI inference cloud,ES,96001869281,0,96001869281,0.001696,1.0,1
Wafer,AI inference cloud,US,88494853718,0,88494853718,0.001563,1.0,3
Decart,AI inference cloud,US,87667114993,0,87667114993,0.001548,1.0,2
Moonshot AI,Model lab,SG,78690536434,0,78690536434,0.00139,1.0,3
AkashML,AI inference cloud,,76375193824,0,76375193824,0.001349,1.0,3
BaseTen,AI inference cloud,US,73023696103,0,73023696103,0.00129,1.0,5
Phala,AI inference cloud,US,66106014047,0,66106014047,0.001168,1.0,10
Parasail,AI inference cloud,US,55757076436,0,55757076436,0.000985,1.0,5
Cerebras,AI inference cloud,US,54932985694,0,54932985694,0.00097,1.0,2
Io Net,AI inference cloud,US,54411197107,0,54411197107,0.000961,1.0,4
ModelRun,AI inference cloud,US,40132003893,0,40132003893,0.000709,1.0,2
Ionstream,AI inference cloud,US,38084326905,0,38084326905,0.000673,1.0,2
SambaNova,AI inference cloud,US,24262422314,0,24262422314,0.000429,1.0,4
OpenInference,AI inference cloud,US,17627392567,0,17627392567,0.000311,1.0,1
Mistral,Model lab,FR,6110836076,0,6110836076,0.000108,1.0,1
Nebius,AI inference cloud,NL,5977551478,0,5977551478,0.000106,1.0,2
Mancer 2,AI inference cloud,,5547369477,0,5547369477,9.8e-05,1.0,1
Crusoe,AI inference cloud,US,5498356687,0,5498356687,9.7e-05,1.0,1
Mara,AI inference cloud,US,3885253000,0,3885253000,6.9e-05,1.0,2
