quarter,server_filesystem,server_github,server_postgres,server_brave_search,server_slack,server_memory,server_puppeteer,server_everything,server_sequential_thinking,total_server_packages
2022-Q1,0,0,0,0,0,0,0,0,0,0
2022-Q2,0,0,0,0,0,0,0,0,0,0
2022-Q3,0,0,0,0,0,0,0,0,0,0
2022-Q4,0,0,0,0,0,0,0,0,0,0
2023-Q1,0,0,0,0,0,0,0,0,0,0
2023-Q2,0,0,0,0,0,0,0,0,0,0
2023-Q3,0,0,0,0,0,0,0,0,0,0
2023-Q4,0,0,0,0,0,0,0,0,0,0
2024-Q1,0,0,0,0,0,0,0,0,0,0
2024-Q2,0,0,0,0,0,0,0,0,0,0
2024-Q3,0,0,0,0,0,0,0,0,0,0
2024-Q4,24400,10600,3900,18600,1900,8200,7700,2400,3500,81200
2025-Q1,200900,101600,65900,88800,25700,38000,87800,10900,66400,685900
2025-Q2,482200,323900,249000,222100,170100,207600,266000,75200,439100,2435200
2025-Q3,1300000,402700,272600,245900,225500,740700,222200,122900,1500000,5032500
2025-Q4,2000000,444000,309800,208700,258300,450000,177400,468300,1400000,5716500
2026-Q1,3300000,846700,636300,305800,389900,758800,266700,647800,999900,8151900
