month,npm_downloads,pypi_downloads,total_downloads
2024-11,13822,0,13822
2024-12,102851,0,102851
2025-01,176533,0,176533
2025-02,350914,0,350914
2025-03,1874545,0,1874545
2025-04,4212709,0,4212709
2025-05,20933359,0,20933359
2025-06,16837593,0,16837593
2025-07,21605761,0,21605761
2025-08,24658353,0,24658353
2025-09,31258519,9747964,41006483
2025-10,31805028,49504549,81309577
2025-11,35008987,56741083,91750070
2025-12,38516712,62183805,100700517
2026-01,50249918,68841572,119091490
2026-02,71656771,85636640,157293411
2026-03,97018659,123642309,220660968
